tempo_s,posicao_x_px,posicao_y_px
26.326733321269153,951,886
26.360058300156837,958,887
26.393383279044517,970,890
26.4267082579322,988,891
26.460033236819882,1011,897
26.493358215707566,1038,902
26.526683194595247,1069,904
26.56000817348293,1104,911
26.59333315237061,1141,913
26.626658131258296,1182,916
26.659983110145976,1224,918
26.69330808903366,1267,919
26.72663306792134,1311,919
26.759958046809025,1354,918
26.793283025696706,1395,916
26.82660800458439,1434,913
26.85993298347207,1471,909
26.893257962359755,1504,905
26.92658294124744,1533,901
26.95990792013512,1558,897
26.993232899022804,1577,894
27.026557877910484,1592,891
27.05988285679817,1601,889
27.09320783568585,1604,889
27.126532814573533,1602,889
27.159857793461214,1593,891
27.193182772348898,1579,894
27.22650775123658,1559,897
27.259832730124263,1535,901
27.293157709011943,1506,905
27.326482687899627,1473,908
27.359807666787308,1436,912
27.393132645674992,1397,915
27.426457624562673,1356,917
27.459782603450357,1313,918
27.493107582338038,1270,919
27.52643256122572,1227,918
27.559757540113406,1185,916
27.593082519001086,1145,913
27.62640749788877,1107,909
27.65973247677645,1073,904
27.693057455664135,1042,900
27.726382434551816,1014,896
27.7597074134395,992,892
27.79303239232718,974,888
27.826357371214865,961,887
27.859682350102545,953,886
27.89300732899023,951,886
27.92633230787791,954,886
27.959657286765594,962,888
27.992982265653275,975,891
28.02630724454096,993,893
28.05963222342864,1016,897
28.092957202316324,1044,902
28.126282181204004,1075,907
28.15960716009169,1110,911
28.192932138979373,1148,915
28.226257117867053,1189,918
28.259582096754738,1231,918
28.292907075642418,1274,919
28.326232054530102,1317,919
28.359557033417783,1359,918
28.392882012305467,1400,915
28.426206991193148,1439,912
28.459531970080832,1475,909
28.492856948968512,1507,905
28.526181927856197,1535,901
28.559506906743877,1559,897
28.59283188563156,1578,894
28.626156864519242,1592,891
28.659481843406926,1600,889
28.692806822294607,1602,889
28.72613180118229,1598,890
28.75945678006997,1589,891
28.792781758957656,1574,894
28.82610673784534,1554,898
28.85943171673302,1529,901
28.892756695620704,1500,905
28.926081674508385,1466,909
28.95940665339607,1430,913
28.99273163228375,1390,916
29.026056611171434,1349,918
29.059381590059115,1307,919
29.0927065689468,1264,919
29.12603154783448,1221,918
29.159356526722163,1180,915
29.192681505609844,1140,912
29.22600648449753,1103,909
29.25933146338521,1069,904
29.292656442272893,1039,900
29.325981421160574,1013,895
